ID;Beweging;TrajectName;Timestamp;ShipID;CEMTKlasse;Width;Length;DimensionA;DimensionB;DimensionC;DimensionD
4394736;IN;Traject2;2018-05-15 08:21:09.953;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4394833;UIT;Traject2;2018-05-15 08:38:38.207;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4394833;IN;Traject3;2018-05-15 08:38:38.207;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4394866;UIT;Traject3;2018-05-15 08:45:09.893;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4394866;IN;Traject4;2018-05-15 08:45:09.893;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4394896;UIT;Traject4;2018-05-15 08:50:08.393;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4394896;IN;Traject5;2018-05-15 08:50:08.393;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4395066;UIT;Traject5;2018-05-15 09:19:19.587;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4395066;IN;Traject6;2018-05-15 09:19:19.587;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4395202;UIT;Traject6;2018-05-15 09:49:00.527;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4397936;IN;Traject6;2018-05-17 21:34:53.113;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4404940;IN;Traject6;2018-05-23 02:08:49.530;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4410079;IN;Traject6;2018-05-25 20:41:50.653;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4415120;IN;Traject6;2018-05-28 20:26:10.207;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
4416236;IN;Traject6;2018-05-30 10:34:20.850;27533C85-C593-4FFF-8EF2-FADA4850F477;IV;8;85;73;12;4;4
